id,source_repository,title_repository_record,title_found_on_first_pages,first_author_repository_record,institution_repository_record,funder_repository_record,funding_statement_found,funders_in_funding_statement,funders_named_first20pages,contract_or_handle,year_be,doc_type_repository_record,pages,sha256,record_url,has_abstract_th,chars_abstract_th,has_abstract_en,chars_abstract_en,has_executive_summary,chars_executive_summary,has_acknowledgement,chars_acknowledgement,has_keywords,chars_keywords,has_policy_recommendations,chars_policy_recommendations,has_recommendations,chars_recommendations,has_rq,chars_rq,has_hypothesis,chars_hypothesis,has_objectives,chars_objectives,has_alignment,chars_alignment,has_scope,chars_scope,has_framework,chars_framework,has_definitions,chars_definitions,has_users_section,chars_users_section,has_beneficiaries_section,chars_beneficiaries_section,has_expected_benefit,chars_expected_benefit,has_utilization,chars_utilization,has_outputs,chars_outputs,has_lit_review,chars_lit_review,has_background,chars_background,has_population,chars_population,has_instruments,chars_instruments,has_data_collection,chars_data_collection,has_analysis,chars_analysis,has_ethics,chars_ethics,has_budget,chars_budget,has_workplan,chars_workplan,has_methods,chars_methods,has_results,chars_results,has_discussion_conclusion,chars_discussion_conclusion,has_references,chars_references,has_appendix,chars_appendix,mention_kr,mention_strategy,mention_wwn_plan,mention_trl,mention_srl,mention_users,mention_beneficiaries,mention_policy_rec,mention_ethics_approval,mention_sample_size_basis,mention_informed_consent,mention_expert_validation,mention_limitations,mention_triangulation,mention_budget_amount,objectives_items,rq_count,references_count,references_method,tables_distinct,figures_distinct,grantthai_fields_covered
PSU-003,PSU Knowledge Bank,การใช้สารพอลิอิเล็กโทรไลต์เพื่อเพิ่มประสิทธิภาพสารดึงในการบำบัดน้ำเสียหมึกพิมพ์ด้วยกระบวนการฟอร์เวิร์ดออสโมซิส,1,วัสสา คงนคร,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,GOV_BUDGET;UNIV_INCOME,,hdl 2016/12676,2561,Technical Report,57,98e9824363c115939bdd8415d765df88a96843053caed1e86441157a266a0c23,https://kb.psu.ac.th/handle/2016/12676,1,1529,1,1292,0,0,0,0,1,80,0,0,0,0,0,0,0,0,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7978,1,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4147,1,1954,1,6034,0,0,1,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,none,10,34,BUDGET.PLAN.TOTAL;CORE.GENERAL.KEYWORDS_EN;CORE.GENERAL.KEYWORDS_TH;CORE.GENERAL.TOTAL_BUDGET;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.SUMMARY;CORE.NARRATIVE.THEORY;CORE.RESEARCH.GAP;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;DOC.ATTACHMENTS.DOCUMENTS;METHOD.PLAN.DESIGN
PSU-005,PSU Knowledge Bank,การเคลือบผิวกระจกโซลาร์เซลล์ให้สามารถทำความสะอาดตัวเองได้,1,จันทิมา ชั่งสิริพร,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,NRC;GOV_BUDGET,NRC,hdl 2016/11849,2561,Technical Report,81,06735db10a451c21183866a96066cdd6cbaf3c0eb4a270c334a05a7280d0a7b5,https://kb.psu.ac.th/handle/2016/11849,1,1470,0,0,0,0,1,301,0,0,0,0,0,0,0,0,0,0,1,462,0,0,1,453,0,0,0,0,0,0,0,0,1,272,0,0,0,0,1,25740,1,3792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6376,1,16373,1,2820,1,5540,1,8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,hanging-indent-estimate,14,35,CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.NARRATIVE.THEORY;CORE.RESEARCH.BOUNDARY_CONDITIONS;CORE.RESEARCH.GAP;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;DOC.ATTACHMENTS.DOCUMENTS;FUND.CALL.AGENCY;METHOD.PLAN.DESIGN;RESULTS.CHAIN.BENEFIT_SUMMARY
PSU-008,PSU Knowledge Bank,การโคลนและศึกษาสมบัติของยีนเลคตินสองชนิด (เลคตินแบบ C และเลคตินที่มีโดเมนไฟบริโนเจน) จากฮีโมไซท์ของกุ้งฟีเนียสที่ตอบสนองต่อการเหนี่ยวนำด้วยเชื้อก่อโรค,1,ประภาพร อุทารพันธุ์,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,GOV_BUDGET;UNIV_INCOME,TRF_SRI,hdl 2016/12621,2561,Technical Report,27,39e284b86292c3d4d2be67a620752bf993bcd49d81eb6c377bc1e51ac0ee3ff5,https://kb.psu.ac.th/handle/2016/12621,1,1450,1,1732,0,0,1,1853,1,101,0,0,0,0,0,0,0,0,1,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11860,1,1759,1,17134,1,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,hanging-indent-estimate,0,6,CORE.GENERAL.KEYWORDS_EN;CORE.GENERAL.KEYWORDS_TH;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;FUND.CALL.AGENCY;METHOD.PLAN.DESIGN
PSU-010,PSU Knowledge Bank,ตัวดูดซับของแข็งชนิดใหม่ครัยโอเจลคอมโพสิทกราฟีนออกไซด์เคลือบโพลีไพโรลสำหรับสกัดและเพิ่มความเข้มข้นสารซัลโฟนาไมด์,1,โอภาส บุญเกิด,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,UNIV_INCOME,,hdl 2016/12322,2561,Technical Report,23,c710ac6d77d0eb37739bc68042b883920f16ec01296e4c3af033d32431eb9372,https://kb.psu.ac.th/handle/2016/12322,1,1350,1,1403,1,33,1,250,0,0,0,0,0,0,0,0,0,0,1,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1316,0,0,1,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.SUMMARY;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;DOC.ATTACHMENTS.DOCUMENTS;FUND.CALL.AGENCY
PSU-014,PSU Knowledge Bank,การพัฒนาเทคโนโลยีการฝากเซลล์สืบพันธุ์ในการเพาะเลี้ยงสัตว์น้ำ,1,วิไลวรรณ โชติเกียรติ,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,GOV_BUDGET,,hdl 2016/19484,2564,Technical Report,206,edfa8f50ed12931b71345615d2e2a05602ae1471dacacec97b23821db9e95b40,https://kb.psu.ac.th/handle/2016/19484,1,2930,1,3846,0,0,1,4275,1,326,0,0,0,0,0,0,0,0,1,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1177,1,10920,1,8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45073,1,17338,1,7505,1,30053,1,6188,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,8,numbered,8,18,CORE.ALIGNMENT.FUND_SELECTION;CORE.ALIGNMENT.POLICY_PATHWAY;CORE.GENERAL.KEYWORDS_EN;CORE.GENERAL.KEYWORDS_TH;CORE.GENERAL.MASTER_PLAN;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.NARRATIVE.THEORY;CORE.RESEARCH.GAP;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;DOC.ATTACHMENTS.DOCUMENTS;FUND.CALL.AGENCY;FUND.CALL.KEY_RESULTS;METHOD.PLAN.DESIGN;METHOD.PLAN.QUALITY;RESULTS.CHAIN.IMPACTS;RESULTS.CHAIN.OUTCOMES;RESULTS.CHAIN.OUTPUTS
PSU-015,PSU Knowledge Bank,รายงานวิจัยฉบับสมบูรณ์การกักเก็บคาร์บอนในหญ้าทะเล : บทบาทของหญ้าทะเลต่อการเปลี่ยนแปลงของภูมิอากาศโลก,1,อัญชนา ประเทพ,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,GOV_BUDGET;UNIV_INCOME,,hdl 2016/12361,2561,Technical Report,71,e654b32c335ca371b134ccaacdc32b68ce57019bf1f9305156c99fe00cb39491,https://kb.psu.ac.th/handle/2016/12361,0,0,0,0,0,0,0,0,1,182,1,3634,0,0,0,0,0,0,1,5570,0,0,1,13392,0,0,0,0,0,0,0,0,0,0,1,2898,1,1621,1,1658,1,9261,0,0,0,0,1,13490,0,0,0,0,0,0,0,0,1,12376,1,11637,1,7795,1,9662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,40,hanging-indent-estimate,6,18,CORE.ALIGNMENT.POLICY_PATHWAY;CORE.GENERAL.KEYWORDS_EN;CORE.GENERAL.KEYWORDS_TH;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.THEORY;CORE.RESEARCH.BOUNDARY_CONDITIONS;CORE.RESEARCH.GAP;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;METHOD.PLAN.DATA_COLLECTION;METHOD.PLAN.DESIGN;RESULTS.CHAIN.IMPACTS;RESULTS.CHAIN.OUTCOMES;RESULTS.CHAIN.OUTPUTS;RESULTS.CHAIN.UTILIZATION_DESC;RESULTS.CHAIN.UTILIZATION_DOMAIN
PSU-016,PSU Knowledge Bank,การแยกและคัดเลือกเชื้อเฮเทอโรโทรฟิคไนตริไฟอิงแบคทีเรียทนเค็มสำหรับการเพาะเลี้ยงกุ้ง,1,ยุทธพงษ์ สังข์น้อย,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,UNIV_INCOME,,hdl 2016/13243,2560,Technical Report,31,ce545b1605a43345b3395384092d94f63ebe1b51de2d6cf5bd91dbfa81f0776b,https://kb.psu.ac.th/handle/2016/13243,1,1454,1,1361,1,35,1,451,0,0,0,0,0,0,0,0,0,0,1,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1944,1,1536,1,1474,1,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,hanging-indent-estimate,14,1,CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;DOC.ATTACHMENTS.DOCUMENTS;FUND.CALL.AGENCY
PSU-017,PSU Knowledge Bank,รายงานวิจัยฉบับสมบูรณ์ชื่อชุดโครงการการสร้างพลังงานสะอาดรูปแบบใหม่และการจัดการพลังงานสำหรับการทำงานด้วยตัวเองของอุปกรณ์พกพาและเครือข่ายไร้สาย,1,นันทกาญจน์ มุรศิต,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,GOV_BUDGET;UNIV_INCOME,,hdl 2016/11914,2560,Technical Report,57,35e4efe165e9128f5e24df76be5a214c30ceb2fa86c440d7c746f034d5c4bd75,https://kb.psu.ac.th/handle/2016/11914,1,1006,1,4719,0,0,1,555,0,0,0,0,0,0,0,0,0,0,1,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5467,1,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,806,1,3796,1,4244,1,7373,1,2218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,numbered,0,10,CORE.ALIGNMENT.POLICY_PATHWAY;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.NARRATIVE.THEORY;CORE.RESEARCH.GAP;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;DOC.ATTACHMENTS.DOCUMENTS;FUND.CALL.AGENCY;METHOD.PLAN.DESIGN
PSU-018,PSU Knowledge Bank,การตรวจวัดและวิเคราะห์นิวไคลด์กัมมันตรังสีในดิน เพื่อประเมินการชะล้างและการสะสมของดินในพื้นที่คัดสรรในเขตแอ่งหาดใหญ่,1,ไตรภพ ผ่องสุวรรณ,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,UNIV_INCOME,,hdl 2016/12620,2560,Technical Report,137,dd2dcd649b7db503c873e498f7dc640d8271b8826501200d6c471beb9dc3b20d,https://kb.psu.ac.th/handle/2016/12620,1,3464,1,16009,0,0,1,2238,1,310,0,0,0,0,0,0,1,0,1,861,0,0,1,848,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4080,1,12455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19142,1,50957,1,1892,1,101001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,51,numbered,10,28,CORE.GENERAL.KEYWORDS_EN;CORE.GENERAL.KEYWORDS_TH;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.NARRATIVE.THEORY;CORE.RESEARCH.BOUNDARY_CONDITIONS;CORE.RESEARCH.GAP;CORE.RESEARCH.HYPOTHESES;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;FUND.CALL.AGENCY;GEO.AREA.RESEARCH_USERS;METHOD.PLAN.DESIGN;METHOD.PLAN.SAMPLE;RESULTS.CHAIN.BENEFIT_SUMMARY;RESULTS.CHAIN.USERS
PSU-019,PSU Knowledge Bank,อัตราการตกตะกอนช่วงปัจจุบันในทะเลสาบสงขลาโดยวิธีวัดไอโซโทปกัมมันตรังสี ตะกั่ว - 210 และซีเซียม - 137,1,ไตรภพ ผ่องสุวรรณ,มหาวิทยาลัยสงขลานครินทร์,not in repository record,1,GOV_BUDGET;UNIV_INCOME,,hdl 2016/13227,2559,Technical Report,146,d5cf043c1a8cc1de60d510411cccd35dc9315c6b43f99d7366719701b2185c98,https://kb.psu.ac.th/handle/2016/13227,1,1163,1,2537,0,0,1,2178,1,230,0,0,0,0,0,0,0,0,1,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3726,1,12037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9237,1,53934,1,4662,1,109439,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,58,numbered,21,22,CORE.GENERAL.KEYWORDS_EN;CORE.GENERAL.KEYWORDS_TH;CORE.NARRATIVE.METHOD;CORE.NARRATIVE.OBJECTIVES;CORE.NARRATIVE.RATIONALE;CORE.NARRATIVE.REFERENCES;CORE.NARRATIVE.SUMMARY;CORE.NARRATIVE.THEORY;CORE.RESEARCH.GAP;CORE.RESEARCH.NATIONAL_NEED;CORE.RESEARCH.OBJECTIVES;CORE.RESEARCH.PROBLEM;CORE.RESEARCH.THEORETICAL_FOUNDATIONS;DOC.ATTACHMENTS.DOCUMENTS;FUND.CALL.AGENCY;METHOD.PLAN.DESIGN;METHOD.PLAN.SAMPLE
